,Hotel_Name,Review,Rating,User_Location,Helpful_Votes,Number_Of_Rooms,Review_Title,Trip_Type,Ranking,Price_Range,Contributions,Low_Price_Room,High_Price_Room,B&B_Ranking,Hotel_Ranking,Spec_Lodge_Ranking
0,Eden_Lodge_Paris-Paris_Ile_de_France,"We decided to stay one night at this ‘hotel’ at the end of a trip to Paris because of the reviews, and it’s relative closeness to the Gare de Lyon, which we arrived to by TGV.  First thing to note: The hotel has no cooling system, so for stays in the summer when temperatures can be in the 30s, it’s not your best bet. The air in the upstairs common area was stuffy and hot. Our room was better because we could open the large floor to ceiling window, but there are lots of mosquitos (because of a dank, and dirty small pool / tub in the front yard ) and all the bees on the property, so opening windows is not a good option. The Dyson ventilator in the room doesn’t help- I don’t believe it’s a fan, maybe an air purifier?  The property has no sign outside, and it’s easy to miss if",3.0,canada,40,5,More ‘b&b’ than hotel,Trip type: Travelled with family,['#28 of 152 B&Bs / Inns in Paris'],['US$207 - US$342 (Based on Average Rates for a Standard Room) '],32,207,342,28,0,0
1,Eden_Lodge_Paris-Paris_Ile_de_France,"Having had experiences with other establishments/hotels in the ‘I Love Eco Hotels’ Chain and by the looks of photos and the reviews on booking.com made for this Eden Lodge then I will have to say that the disappointment is quite high.  The entrance is a large port from the street with a small sign on the wall next to the port. We stood outside for about 20 minutes before someone opened the doors for us. We had tried to call several times but no one was answering the phone. We tried to buzz on the door communication button but no one responded.  From the photos it looks like you have this large beautiful garden space with nice places to sit outside, in reality its a small backyard garden with a minimum maintenance and not very inviting to use the garden nor the tables and chairs.",2.0,"Grottammare, Italy",103,5,Poorly managed property,Trip type: Travelled on business,['#28 of 152 B&Bs / Inns in Paris'],['US$207 - US$342 (Based on Average Rates for a Standard Room) '],171,207,342,28,0,0
2,Eden_Lodge_Paris-Paris_Ile_de_France,"We loved everything about Eden Lodge!   The location is convenient enough with a great bus just outside that takes you to the Marais and onwards, and a subway station close by as well.  The Hotel itself is charming, with a peaceful garden, interior designs inspired by the 50ies and 60ies, and smelling wonderfully of fresh wood.  The beds are super comfortable and the bathroom was so beautiful that we had to photograph it...   The breakfast is set up in the charming kitchen and is small but with everything you need (fresh coffee, bread, butter, jam, cheeses, ham, fruit salad, yoghurt and croissants...). Everything was of great quality and presented with love and care.  The staff is equally lovely!   A small word of caution - be sure to bring the codes for the two doors before you",5.0,"Stockholm, Sweden",2,5,A small and lovely gem in Paris!,Trip type: Travelled with friends,['#28 of 152 B&Bs / Inns in Paris'],['US$207 - US$342 (Based on Average Rates for a Standard Room) '],1,207,342,28,0,0
3,Eden_Lodge_Paris-Paris_Ile_de_France,"It's little bit tricky to find it if you arrive at night time so you need to count on your navi :) Hotel is nicely hidden behind two massive doors. It's like a nice kindersurprise :)  Very eco friendly hotel, nice and confortable design. Surprisingly big bath, surely for two :) Japanese loo! Clean, comfortable bed, realy good and rich breakfast.  Friendly and helpful personell. Lot's of plases to eat or go out around.",5.0,,3,5,Paradice in the heart of Paris,Trip type: Travelled as a couple,['#28 of 152 B&Bs / Inns in Paris'],['US$207 - US$342 (Based on Average Rates for a Standard Room) '],9,207,342,28,0,0
4,Eden_Lodge_Paris-Paris_Ile_de_France,Wonderfully hidden behind an inconspicuous door lies this green oasis. Rooms are spacious and well equipped. Breakfast is far above Parisian standards and the hosts are impeccable. The lodge is located within 3-4min walking distance from the subway.,4.0,"Antwerp, Belgium",63,5,Peaceful oasis in the midst of vibrance,,['#28 of 152 B&Bs / Inns in Paris'],['US$207 - US$342 (Based on Average Rates for a Standard Room) '],121,207,342,28,0,0
5,Hotel_Malte_Astotel-Paris_Ile_de_France,"The hotel is located in a nice, quiet area near the Louvre. Everything was perfect...very friendly staff, a big beautiful and quiet  room and a very good breakfast. The hotel was well located to visit our points of interests. We’ll definitely be back.",5.0,,None,64,Perfect stay,Trip type: Travelled with family,"['#5 of 1,868 hotels in Paris']",['US$167 - US$379 (Based on Average Rates for a Standard Room) '],1,167,379,0,5,0
6,Hotel_Malte_Astotel-Paris_Ile_de_France,"We stayed for a total of 9 nights. We originally booked 8 nights but had to stay another night because our flight was cancelled.   Staff were great and very helpful, especially after we learned that our flight was cancelled and we were going to get picked up by our transport (to CDG) in an hour.  The front desk overnight staff (I completely forgot his name) was very helpful in calling our transport company to cancel and reschedule our transport to the airport.  He wad also able to relay messages to his colleagues about our cancelled flight, which relieved some stress.     The manager of the hotel was very kind and accomodating.  He gave us the best rate (with breakfast) for our additional night.   We stayed in a duplex room. My two teenage nephews truly enjoyed their space.",5.0,"Newark, California",9,64,Highly recommended,Trip type: Travelled with family,"['#5 of 1,868 hotels in Paris']",['US$167 - US$379 (Based on Average Rates for a Standard Room) '],20,167,379,0,5,0
7,Hotel_Malte_Astotel-Paris_Ile_de_France,"I stayed in Malte Astotel during the weekend of 6-8 August 2021 together with my family and parent-in-law. We had booked two rooms to accommodate 5 people and the hotel arranged to have two rooms next to each other which was very convenient for us. The location is very good, it is in a walking distance to major sightseeings of Paris city and has good connection via metro and bus lines. The choice for breakfast is good enough and bigger than standard continental breakfast. Drinks and snacks are available to guests 24/7 free of charge which is very lovely compliment from the hotel.  We did not use it during our stay but I believe it is really great option that the Astotel chain offers to all guests - the possibility to come and take drinks, snacks, charge the phone or go to the",5.0,"Luxembourg City, Luxembourg",None,64,Very friendly and warm service,Trip type: Travelled with family,"['#5 of 1,868 hotels in Paris']",['US$167 - US$379 (Based on Average Rates for a Standard Room) '],9,167,379,0,5,0
8,Hotel_Malte_Astotel-Paris_Ile_de_France,"I have been to Paris 4 times, this was the cleanest, nicest and most reasonable price hotel that I have stayed at. The location is great. We were able to walk to the Louvre and Opera. The hotel staff arranged for Taxis when necessary and answered all of our questions. We payed for the breakfast and it was worth it. Great food and clean presentation.",5.0,"Phoenix, Arizona",1,64,Excellent Hotel,,"['#5 of 1,868 hotels in Paris']",['US$167 - US$379 (Based on Average Rates for a Standard Room) '],2,167,379,0,5,0
9,Hotel_Malte_Astotel-Paris_Ile_de_France,"The Manager, Alex, helped us to find a restaurant that serves escargot in August on a Sunday night (the last night that we stayed in Paris.) Most places are on holidays in Aug and Sundays. Alex found it made a reservation and printed direction",5.0,,None,64,Above and Beyond - Exceptional Service,Trip type: Travelled as a couple,"['#5 of 1,868 hotels in Paris']",['US$167 - US$379 (Based on Average Rates for a Standard Room) '],1,167,379,0,5,0
10,Hotel_Bradford_Elysees_Astotel-Paris_Ile_de_France,We came to Paris for a family matter and stayed at the Hotel Bradford. It was a very nice clean hotel. Rooms were a nice size and the bathroom very large. Cute little balcony with table and chairs that we could sit and sip our wine. The room rate was very affordable and for slightly more we got the breakfast buffet. Breakfast buffet was well worth it. It had a huge selection of breakfast foods. Jean-Marc at the front desk was very helpful and knowledgeable. I would highly recommend this hotel.,5.0,,None,50,Great hotel,Trip type: Travelled with family,"['#9 of 1,868 hotels in Paris']",['US$164 - US$373 (Based on Average Rates for a Standard Room) '],1,164,373,0,9,0
11,Hotel_Bradford_Elysees_Astotel-Paris_Ile_de_France,"We will definitely come back to the Astotel. We loved the free refreshments in the room mini bar and breakfast room (serving free food and drink after 2PM). The room was really nice and elegant. The location was nice, especially if you want to be near the Champs Elysees area.",5.0,,2,50,"Excellent hotel: great price, free snacks, nice rooms, good location",,"['#9 of 1,868 hotels in Paris']",['US$164 - US$373 (Based on Average Rates for a Standard Room) '],1,164,373,0,9,0
12,Hotel_Bradford_Elysees_Astotel-Paris_Ile_de_France,We needed a Covid test to return to our country.  The staff was able to translate and mediate between us and the pharmacy.  We may not have been able to return without their assistance.  Jean-Marc was an excellent and kind in helping us.  The drinks in the fridge were complimentary.  It was within about 3 blocks from the Champs Elysees with plenty of choices for restaurants and close to the metro to travel anywhere in the city.,5.0,,None,50,"Very helpful staff, cozy boutique hotel",,"['#9 of 1,868 hotels in Paris']",['US$164 - US$373 (Based on Average Rates for a Standard Room) '],2,164,373,0,9,0
